Unnamed: 0,time,RRID:SAMN08769199,RRID:SAMN08769198,RRID:SAMN08769193,RRID:SAMN08769204,RRID:SAMN08769089,RRID:SAMN08769090,RRID:SAMN08769194,RRID:SAMN08769084,RRID:SAMN08769195,RRID:SAMN08769086,RRID:SAMN08769130,RRID:SAMN08769128,RRID:SAMN08769126,RRID:SAMN08769125,RRID:SAMN08769122,RRID:SAMN08769123,RRID:SAMN08769124,RRID:SAMN08769079,RRID:SAMN08769080,RRID:SAMN08769081,RRID:SAMN08769078,RRID:SAMN08769076,RRID:SAMN08769077,RRID:SAMN08769075,RRID:SAMN08769074,RRID:SAMN08769071,RRID:SAMN08769067,RRID:SAMN08769068,RRID:SAMN08769065,RRID:SAMN08769064,RRID:SAMN08769066,RRID:SAMN08769070,RRID:SAMN08769073,RRID:SAMN08768700,RRID:SAMN08768698,RRID:SAMN08768705,RRID:SAMN08768738,RRID:SAMN08768739,RRID:SAMN08768701,RRID:SAMN08768702,RRID:SAMN08768736,RRID:SAMN08768735,RRID:SAMN08768734,RRID:SAMN08768733,RRID:SAMN08768732,RRID:SAMN08768752,RRID:SAMN08768754,RRID:SAMN08768751,RRID:SAMN08768750,RRID:SAMN08768762
0,3,30.3,31.4,7,14.8,126.2,84.4,19.3,17.9,73,69.5,22.5,41.8,13.1,69.5,12.1,17.8,9.1,12.9,44.9,7.5,7.5,11.8,15.8,42,55.6,122.6,47.9,17.2,156.3,30.7,20.7,85.7,24.8,46,57.2,15.2,30.7,84.6,88.3,41.7,47.2,111.7,199.8,35.5,20.1,23.7,57.9,8.6,156.8,22.9
1,6,32.8,27.7,11.7,13.7,110.7,63.7,17.4,13.9,63,83.1,20.8,31.3,7.5,76.9,7.4,9.4,10.2,13.3,41.7,10.6,7.5,7.4,17,34.8,45,112,41.4,11.2,142.4,21.6,14.2,71.7,22.4,40.4,48.3,14.4,29.7,55.9,71.5,35.2,31.5,97.3,191.4,36.3,8,17.3,39.4,9.2,91.3,21.1
2,9,34.4,30.9,7,11.7,132.8,66,22.2,16,57.7,62.3,20.5,32.1,12.9,79.5,11.3,17.9,7.5,13.1,43.1,13.6,10,12.6,19.2,31.9,45.4,103.2,38.7,15.5,128.6,19.3,18.2,75.5,18.6,35.1,45.4,16.3,29.7,58.1,70.9,32.2,44.5,102.3,189.8,43,16,24.3,44.9,6.9,94.2,24.8
3,12,33.9,24.6,7,15.9,115.7,43.3,19.8,9.1,50.2,60.7,17.3,28.9,7.5,87.4,7.4,14.6,8.2,9.8,34.6,13.3,7.5,7.4,17.7,29.6,36.2,110,32.1,11.6,121.7,15.5,13.2,52,14.8,26.1,32.3,12.5,24.6,44.3,59.7,29.9,41.2,107.1,157.3,34.6,6.9,12.3,39.3,0.3,85.2,16.7
4,15,28.5,31.6,7,17.7,161.2,44.9,15.1,18.1,53.5,85.2,25.7,37.3,9.4,90,8.6,15.1,7.5,13.3,34.3,14.9,8.6,10.5,18.1,31.3,33.4,127.9,39.8,15.5,92.3,18.5,13.4,77.3,15.3,33.3,42,18,26.1,43.5,59.7,30.9,42.4,108.3,165.2,33.6,9.9,23.7,39.5,7.8,138.4,27
5,18,20.7,14.1,7,9.7,86.8,28.5,7.4,7.4,18.7,48.1,13.5,23.6,7.5,60.9,7.4,11.1,7.5,11,30,12.2,8,7.4,7.5,7.4,8.3,105.8,25,14.8,74.9,8.3,12.2,29.4,7,13.2,18.8,5.7,13.4,31.6,86.1,14.7,33.9,59.2,121.9,18.2,6.9,10.2,39.5,0,71.9,10.7
6,21,28.7,18.6,7,7.6,81.7,29,7.4,8.3,23.5,44.4,9,29.5,8.8,75.8,7.4,20.2,7.5,22.2,44.7,17.1,7.5,7.4,9.2,7.4,9.1,105.7,24.2,16.3,73.6,13,12.7,32.6,17.5,14.3,19.4,10.7,22.1,22.1,55.5,27.5,33.8,69.1,139.8,26.4,2.9,17.4,45.1,4.4,27.9,14.7
7,24,26.8,15,7,2.1,79.3,21.4,7.4,7.4,17.9,45.5,4.6,21.9,11.9,79.9,8.4,16.7,7.5,17.3,34.8,11.3,7.5,7.4,2.5,7.4,5.7,106.4,18.3,13.8,69.7,8.3,13.6,27.5,12.1,10.8,13.5,5.6,16.5,22.6,52.5,21.7,29.6,52.2,114.8,23.6,7.7,22.6,52.6,0,46,10.2
8,27,30.5,18.9,7,9.1,82.9,24.9,7.4,10.3,19.2,54.1,3.7,31.8,7.5,92.2,7.4,19.4,8.9,18.6,33.2,19,8.3,7.4,10.6,10.2,6,121.9,22.2,10,82.4,9.8,11.7,30.5,14.8,12.5,14.8,9,19.3,18.5,46.8,25.1,30.9,74,135.4,27.4,7.3,19.3,42.3,0.1,46.5,17.5
9,30,24,20.8,7,2.6,63.2,20.3,7.4,10.4,15,77.8,14.4,32.8,7.5,95.7,7.4,15.4,7.5,19.5,26.7,10.4,8.5,7.4,7.5,7.4,6.2,101.8,24.9,7.4,69.5,8.7,9.9,28.9,12.7,15.5,12.4,11.2,22.2,20.8,44.6,23.9,30,52.6,116.3,25.4,6.9,19.7,31.3,4.3,36.9,14.8
10,33,24.9,21.6,7,7.8,70.9,22.8,7.4,8.9,16,49,19.4,33.9,7.5,102.9,7.4,17.7,7.5,19.7,26.8,18.3,7.5,7.4,8.5,7.4,6.5,132.7,24.2,10,70.5,10.7,13.3,28.4,15.2,14.1,11.7,9.4,22.4,23.5,58.8,23.1,35.3,74,124.8,31.1,6.5,16,39.4,4.1,46.6,19.9
11,36,23.2,20.2,7,6.5,57.2,23.3,7.4,7.4,14.7,47.1,12.5,34.8,7.5,108.6,7.4,9.4,7.5,16,25.4,13.5,7.5,7.4,7,7.6,5.7,111.3,26.4,6.6,64.3,11.5,7.9,26.3,16,17.7,10.1,11.1,23.2,23.6,50.9,26.3,25.7,68.7,115.4,31.5,6.9,9.2,29,5.8,35.9,21.5
12,39,25.4,19,7,8.1,81.5,22.4,7.4,10.6,17.7,54.9,20.5,36.5,8.1,111.8,7.4,18.9,7.5,15.5,25.6,8.4,8.9,7.4,9.5,7.4,5.7,129.9,24,9.4,68,11.3,13.9,31,16.3,16.9,12.6,10.5,25.1,28.6,66.8,34,39.6,81.4,121.5,31.8,8.3,22.2,33.6,3.9,49.1,21.1
13,42,22.4,21.1,7,10.6,70,27.5,7.4,7.4,14.3,65.5,18.9,32.9,7.5,103,7.4,12.3,7.5,11.5,24.6,13.4,7.5,7.4,7.6,12.6,5.7,115.4,23.5,7.9,69.1,8.3,11.6,31,16.1,17.6,7.9,10.5,20.7,24.9,57.1,30.2,29.7,83.4,134.6,29.3,6.9,13.4,25.2,0,46.8,14.1
14,45,27,35.7,7,9.2,81.2,25.1,18.5,15.2,26.6,76,27,38.8,7.5,113.9,9.3,15.7,7.5,15.5,25.8,18.8,10.4,7.4,11.1,17.1,8.3,132.3,26.4,9,92.6,13.8,13.9,28.1,19.6,23.7,17.2,13.2,27.9,34.1,75.2,39.1,40.4,90.1,128.9,36.8,5.7,23.4,25.1,6,31.6,33.7
15,48,27.2,46.8,7,8.6,92.8,29.7,22.4,8.8,23.8,83.7,37.4,31.9,7.5,111.4,7.4,17.7,7.5,7.5,23.9,12.2,10.3,8.5,12.6,22.7,22.1,156.1,14,8.7,75.3,13.7,15.1,34.4,11.9,28.3,12.7,8.6,24.3,45.4,72.6,34.1,44.2,107.5,123.5,33,11.4,13.3,36,0,42.3,33.6
