Unnamed: 0,time,RRID:SAMN08769199,RRID:SAMN08769198,RRID:SAMN08769193,RRID:SAMN08769204,RRID:SAMN08769089,RRID:SAMN08769090,RRID:SAMN08769194,RRID:SAMN08769084,RRID:SAMN08769195,RRID:SAMN08769086,RRID:SAMN08769130,RRID:SAMN08769128,RRID:SAMN08769126,RRID:SAMN08769125,RRID:SAMN08769122,RRID:SAMN08769123,RRID:SAMN08769124,RRID:SAMN08769079,RRID:SAMN08769080,RRID:SAMN08769081,RRID:SAMN08769078,RRID:SAMN08769076,RRID:SAMN08769077,RRID:SAMN08769075,RRID:SAMN08769074,RRID:SAMN08769071,RRID:SAMN08769067,RRID:SAMN08769068,RRID:SAMN08769065,RRID:SAMN08769064,RRID:SAMN08769066,RRID:SAMN08769070,RRID:SAMN08769073,RRID:SAMN08768700,RRID:SAMN08768698,RRID:SAMN08768705,RRID:SAMN08768738,RRID:SAMN08768739,RRID:SAMN08768701,RRID:SAMN08768702,RRID:SAMN08768736,RRID:SAMN08768735,RRID:SAMN08768734,RRID:SAMN08768733,RRID:SAMN08768732,RRID:SAMN08768752,RRID:SAMN08768754,RRID:SAMN08768751,RRID:SAMN08768750,RRID:SAMN08768762
0,3,1.13,0.44,0.17,0.19,1.17,0.37,0.22,0.03,0.06,0.09,0.08,0.15,0.12,0.21,0.13,1.25,0.43,0.23,0.24,0.36,0.22,0.34,1.62,0.26,1.07,0.99,0.14,0.06,0.44,0.22,0.13,0.49,0.14,0.4,0.14,0.13,0.08,0.61,1.42,0.2,1.29,0.26,0.15,0.1,0.27,1.14,0.65,0.42,0.01,0.17
1,6,1.13,0.49,0.17,0.19,1.62,0.42,0.2,0.09,0.06,0.08,0.08,0.16,0.1,0.31,0.14,1.21,0.4,0.22,0.25,0.32,0.3,0.31,1.57,0.31,1.28,0.95,0.25,0.06,0.61,0.25,0.11,0.5,0.16,0.46,0.11,0.14,0.12,0.58,1.57,0.23,1.46,0.26,0.15,0.22,0.25,1.44,0.7,0.49,0.07,0.15
2,9,1.26,0.43,0.15,0.2,1.64,0.6,0.21,0.05,0.06,0.08,0.08,0.17,0.13,0.21,0.16,1.27,0.46,0.22,0.27,0.35,0.24,0.31,1.55,0.33,1.16,0.99,0.17,0.07,0.6,0.22,0.17,0.51,0.13,0.49,0.12,0.14,0.1,0.77,1.33,0.25,1.12,0.29,0.16,0.17,0.32,1.1,0.82,0.48,0.03,0.24
3,12,1.08,0.49,0.17,0.21,1.75,0.4,0.19,0.08,0.06,0.08,0.08,0.23,0.09,0.25,0.18,1.16,0.33,0.17,0.3,0.37,0.26,0.3,1.82,0.31,1.29,0.88,0.22,0.05,0.76,0.25,0.15,0.5,0.22,0.49,0.1,0.14,0.11,0.61,1.37,0.26,1.12,0.25,0.24,0.18,0.24,1.18,0.78,0.44,0.07,0.11
4,15,1.07,0.85,0.19,0.34,2.66,0.44,0.22,0.12,0.06,0.11,0.11,0.29,0.21,0.27,0.33,1.14,0.39,0.49,0.34,0.41,0.33,0.38,2.34,0.49,1.42,1.14,0.24,0.07,0.69,0.27,0.18,0.74,0.18,0.54,0.11,0.17,0.17,0.81,2.39,0.34,1.25,0.27,0.22,0.19,0.35,1.31,3.14,0.52,0.15,0.21
5,18,2.3,2.84,1.87,2.89,1.75,0.83,0.38,1.75,2.27,0.56,0.62,1.05,0.63,0.97,1.01,4.51,2.09,3.68,2.75,2.16,0.85,3.32,4.49,0.71,2.83,1.44,0.57,1.83,1.46,1.79,1.49,0.72,2.37,1.09,0.48,1.06,0.49,1.87,2.21,0.76,2.16,1.31,1.08,1.65,1.22,3.31,3.64,0.81,0.42,1.07
6,21,2.14,1.89,1,1.46,1.78,0.9,0.42,1.81,1.12,0.89,0.77,1.28,0.44,0.81,0.67,3.65,1.49,2.54,1.45,1.71,0.8,2.13,3.27,0.59,1.83,1.44,0.46,1.21,1.34,1.52,1.17,1.03,1.49,1.1,0.69,1.29,0.49,2.48,1.99,0.72,2.04,1.34,0.89,1.73,1.33,2.85,2.31,0.91,1.59,1.34
7,24,2.05,0.94,1.18,1.08,1.82,0.69,0.31,1.5,0.9,0.66,0.52,1.09,0.47,0.56,0.54,2.87,1.28,2.04,1.14,1.29,0.68,1.3,3.18,0.49,2.4,1.38,0.52,0.7,1.17,1.07,1.07,0.75,1.19,0.74,0.31,1,0.3,1.73,2.1,0.5,1.53,0.87,0.7,1.37,0.91,2.24,1.4,0.79,2.33,0.99
8,27,2.2,1.9,1.22,2.02,1.86,0.98,0.39,1.42,1.35,0.91,0.63,1.19,0.46,0.53,0.83,2.96,1.39,1.8,1.59,1.52,0.63,2.12,4.32,0.68,1.87,1.38,0.52,1,1.05,1.43,1.35,0.95,1.19,0.92,0.36,1.36,0.41,2.1,2.09,0.69,2.23,1.06,0.92,1.33,0.93,1.87,1.52,1.01,1.72,1.14
9,30,1.93,1.56,1.36,1.57,2.04,0.74,0.31,1.57,1.33,0.9,0.53,1.03,0.57,0.63,0.76,3.49,1.42,1.8,1.46,1.3,0.69,1.7,3.37,0.64,2.2,1.33,0.59,0.88,1.24,1.32,1.38,0.84,1.27,0.79,0.36,1.3,0.37,2.42,2.22,0.62,1.75,0.84,0.8,1.38,0.93,2.11,1.03,0.87,1.95,1.08
10,33,2.04,1.72,1.34,1.82,1.85,1.03,0.33,1.41,1.93,0.89,0.68,1.14,0.54,0.51,0.85,2.73,1.35,1.81,1.5,1.42,0.53,1.95,4.74,0.77,1.61,1.37,0.49,1.06,1.26,1.42,1.48,0.91,1.14,0.83,0.38,1.22,0.42,2.57,1.79,0.67,1.97,0.99,0.86,1.39,0.9,1.42,1.48,1.04,1.95,1.18
11,36,1.92,1.69,1.34,1.57,2.3,0.82,0.36,1.81,1.65,1.04,0.71,1.11,0.54,0.63,0.88,3.22,1.16,1.77,1.8,1.4,0.73,1.76,4.08,0.79,2.77,1.22,0.63,1.05,1.54,1.37,1.18,0.94,1.24,0.82,0.42,1.34,0.42,1.84,2.17,0.68,1.77,0.95,0.93,1.52,0.74,2.23,1.04,1.17,2.33,1.09
